Name,Porb, Porb_sig_p, Porb_sig_m, a1sini/c, a1sini/c_sig_p, a1sini/c_sig_m, e, e_sig_p, e_sig_m, phip, phip_sig_p, phip_sig_m, varpi, varpi_sig_p, varpi_sig_m, f(M)Msun, f(M)Msun_sig_p, f(M)Msun_sig_m, a2sini/c, a2sini/c_sig_p, a2sini/c_sig_m, gradient, grad_sig_p, grad_sig_m, t_p, t_p_sig_p, t_p_sig_m, K1_ms, K1_ms_sig_p, K1_ms_sig_m
kic10035772,1377.712372,129.241818,98.120631,332.050044,30.823345,19.390379,0.694605,0.023699,0.023277,0.230279,0.014395,0.019821,5.917479,0.044223,0.040596,0.0207098,0.006478,0.0053161,346.250485,33.273369,19.538655,0.146123,0.071116,0.046141,55275.649757,115.398162,116.915045,7369.9,635.1,510.5
kic11090405,4875.799942,1073.619881,1849.297224,248.345405,50.482539,126.435227,0.258707,0.085708,0.100725,0.005578,0.020122,0.015256,3.845415,0.158974,0.280151,0.00069177,0.00061467,0.00110691,335.180183,51.697008,171.872311,0.11215,0.029741,0.031598,54985.589002,1464.748046,1463.350354,1544.8,197.1,683.9
kic11100522,2520.840425,360.224026,339.645669,110.828113,9.603259,9.63079,0.529436,0.059899,0.078732,0.2341,0.040085,0.031345,1.345137,0.031799,0.072669,0.00023001,0.00008825,0.00008769,471.848104,42.961589,39.690892,-0.055171,0.027257,0.018743,55548.520293,364.232169,358.744875,4805.5,469.9,408.0
kic11152054,3143.80731,508.611595,336.135877,1299.696896,389.430792,270.898559,0.090252,0.042035,0.04641,0.876548,0.022801,0.034524,2.615361,0.04589,0.033944,0.2385048,0.220374,0.1679198,1703.356863,471.942277,369.696676,0.072257,0.135863,0.075645,57719.22885,428.413206,436.096102,9014.0,2196.8,1600.4
kic11445913,2096.801468,50.733293,42.495191,125.905164,13.546089,8.2004,0.282752,0.094151,0.057985,0.798152,0.041912,0.056405,4.232976,0.084273,0.069886,0.00048742,0.00010642,0.00010452,533.188402,38.128563,37.130269,0.218352,0.221465,0.220029,56642.104135,99.478555,127.124746,5840.5,518.0,491.8
kic2571868,158.103144,0.163739,0.167515,155.28115,5.594043,5.694551,0.002356,0.003166,0.001642,0.939909,0.018417,0.015763,0.113559,0.125598,0.077558,0.1608266,0.0173848,0.0176969,179.072325,2.799956,2.826568,-0.039139,0.004352,0.004446,55106.995098,2.916492,2.497677,21414.2,769.2,786.2
kic2693450,634.06541,5.685408,5.715467,384.211447,35.393469,36.514741,0.204835,0.072243,0.076069,0.240619,0.030325,0.058082,3.07122,0.182251,0.382425,0.1514696,0.041949,0.0432715,394.926689,17.5208,17.54038,0.155134,0.028849,0.02944,55116.100325,20.05523,37.266351,13520.6,1337.8,1306.5
kic3661361,1030.633977,29.420331,22.0792,662.522887,20.261284,20.164732,0.481827,0.034689,0.032658,0.832377,0.02226,0.031279,1.752473,0.088543,0.101981,0.293952,0.0297649,0.0316552,692.351438,26.193359,23.960429,0.452173,0.092849,0.077582,55821.407458,34.487415,41.258787,15985.3,654.1,602.0
kic4471379,965.240615,2.539082,2.545675,589.453518,16.585897,17.263364,0.241217,0.015332,0.014326,0.005083,0.007477,0.0117,5.705866,0.049605,0.076051,0.23602622,0.00744166,0.00713218,632.574402,6.554443,6.274346,0.032116,0.008721,0.008381,54963.298558,7.651815,11.575952,14730.6,177.3,185.0
kic4773851,67.128524,0.095134,0.095379,73.985207,6.544642,6.549521,0.289801,0.106606,0.104043,0.603328,0.044929,0.046672,3.995859,0.274278,0.262477,0.0964946,0.0256089,0.0256279,74.489157,5.131169,4.880425,-0.000618,0.006826,0.007549,54996.532218,3.017521,3.13447,25169.8,2753.9,2474.2
