,Column0,target_name,RA,DEC,MatchID,MatchRa,MatchDEC,dstArcSec,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,objType,typeSrc,POSflag,pmRA,e_pmRA,pmDEC,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,Tmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_EBV,epos_EBV,EBVflag,eneg_Mass,epos_Mass,eneg_Rad,epos_Rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_Teff,epos_Teff,TeffFlag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,starchareFlag,VmagFlag,BmagFlag,splists,e_RA,e_Dec,RA_orig,Dec_orig,e_RA_orig,e_Dec_orig,raddflag,wdflag
7,1436,25155612,63.21751,-70.249137,25155612,63.21751,-70.249137,0.0,20190415,,,099-003621,04125220-7014567,,J041252.20-701458.2,,33562349.0,,STAR,tmgaia,tmgaia,4.04,2.0,-135.12,2.0,tic7,,,,283.54117599999995,-38.391864,327.34435,-79.58000200000001,13.106,0.043,11.709000000000001,0.046,,,,,,,,,,,9.157,0.025,8.511000000000001,0.023,8.375,0.023,AAA-222-111-000-0-0,,8.263,0.023,8.311,0.02,8.224,0.02,8.255,0.21600000000000003,,,10.236,0.018000000000000002,gaiaj,spec7,4241.0,170.0,,,,,,,,,,,DWARF,,,54.8348,,,,0,,,,,,,,,,,,,,,,,,,,,,,spect,,,,,0,,ucac4,apassdr9,,0.00016480148841372,0.000114311184354505,63.21760195974829,-70.2497237801587,0.00016480148841372,0.000114311184354505,-1,0
33,3872,388130306,65.4659,-67.6596,388130306,65.4659,-67.6596,0.0,20190415,,,112-003821,04215182-6739343,,,,32425373.0,,STAR,2mass,2mass,581.0,8.0,302.0,8.0,tic7,,,,280.118395,-38.843755,342.203442,-80.45823299999999,14.453,0.027999999999999997,12.927999999999999,0.081,,,,,,,,,,,9.295,0.022000000000000002,8.696,0.053,8.449,0.021,AAA-212-111-000-0-0,,,,,,,,,,,,10.663,0.04,cdwrf,spec7,3536.0,69.0,,,,,,,,,,,DWARF,,,49.72789,,,,0,,,,,,,,,,,,,,,,,,,,,,,spect,,,,,0,,cdwrf,apassdr9,,60.0,60.0,65.46594300000001,-67.65954599999999,60.0,60.0,-1,0
59,6929,33864198,65.211947,-72.94834,33864198,65.211947,-72.94834,0.0,20190415,,9160-01691-1,086-008062,04205085-7256540,,J042051.14-725654.2,,33564942.0,,STAR,tmgaia,tmgaia,98.98,2.0,2.09,2.0,tic7,,,,286.135738,-36.537084,312.10429700000003,-79.434259,13.311,0.39299999999999996,11.386,0.11199999999999999,,,,,,,,,,,9.591000000000001,0.03,9.025,0.03,8.875,0.025,AAA-222-111-000-0-0,,8.745,0.023,8.81,0.02,8.75,0.023,8.591000000000001,0.267,,,10.581,0.019,gaiaj,spec7,4555.1,69.0,,,,,,,,,,,DWARF,,,100.447,,,,0,,,,,,,,,,,,,,,,,,,,,,,spect,,,,,0,,tycho2v,tycho2b,,0.000122393249887395,0.00015881049864156202,65.2132290067838,-72.9482639926275,0.000122393249887395,0.00015881049864156202,-1,0
86,11366,220436467,73.738654,-57.66356999999999,220436467,73.738654,-57.66356999999999,0.0,20190415,,,162-004713,04545727-5739488,,J045457.32-573949.7,,27234869.0,,STAR,2mass,2mass,,,,,,,,,266.509281,-38.092991,42.035118,-78.365992,13.659,0.033,12.352,0.08,,,,,,,,,,,9.933,0.024,9.28,0.024,9.145,0.025,AAA-222-111-000-0-0,,8.999,0.022000000000000002,8.996,0.02,8.92,0.022000000000000002,8.821,0.184,,,11.102,0.055,vjk,spec7,4073.0,170.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,spect,,,,,0,,ucac4,apassdr9,,60.0,60.0,73.738654,-57.66356999999999,60.0,60.0,-1,0
93,13108,38509907,62.378536,-62.851409,38509907,62.378536,-62.851409,0.0,20190415,,,136-003798,04093083-6251052,,J040931.02-625103.2,,29804694.0,,STAR,2mass,2mass,102.8,2.0,176.18,2.0,tic7,,,,275.080842,-42.019637,4.589212,-77.746713,14.62,0.01,13.31,0.092,,,,,,,,,,,10.761,0.024,10.136000000000001,0.023,9.967,0.023,AAA-222-111-000-0-0,,9.891,0.023,9.873,0.02,9.791,0.034,8.935,,,,11.940999999999999,0.033,vjk,spec7,4082.0,170.0,,,,,,,,,,,DWARF,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,spect,,,,,0,,ucac4,apassdr9,,60.0,60.0,62.378496999999996,-62.85146700000001,60.0,60.0,-1,0
106,16439,220428553,72.6648,-59.7189,220428553,72.6648,-59.7189,0.0,20190415,,,152-004771,04503954-5943081,,,,27232737.0,,STAR,2mass,2mass,22.0,8.0,225.0,8.0,tic7,,,,269.20860600000003,-38.277771,33.145825,-79.662645,14.259,0.059000000000000004,12.745,0.016,,,,,,,,,,,9.613,0.024,9.038,0.027000000000000003,8.788,0.025,AAA-222-111-000-0-0,,,,,,,,,,,,10.875,0.04,cdwrf,spec7,3732.0,64.0,,,,,,,,,,,DWARF,,,64.93816,,,,0,,,,,,,,,,,,,,,,,,,,,,,spect,,,,,0,,cdwrf,apassdr9,,60.0,70.0,72.66478599999999,-59.718918,60.0,70.0,-1,0
134,24763,176932113,100.24942800000001,-69.331345,176932113,100.24942800000001,-69.331345,0.0,20190415,,,104-018763,06405986-6919528,,J064059.77-691953.3,,32018950.0,,STAR,2mass,2mass,,,,,,,,,279.799988,-26.163903,220.42914199999998,-85.267393,13.515999999999998,0.009000000000000001,12.136,0.046,,,,,,,,,,,9.732000000000001,0.022000000000000002,9.107999999999999,0.025,8.966000000000001,0.021,AAA-222-111-000-0-0,,8.88,0.023,8.926,0.02,8.83,0.022000000000000002,8.482000000000001,0.121,,,10.868,0.031,vjk,spec7,4217.4,64.0,,,-0.15,0.08,0.48037700000000005,0.0631488,,,,,,,,,,,,212,0.1919884,,,0.01382097,,,,,,,,,,,,,,,,,,,spect,,,,,0,,ucac4,apassdr9,,60.0,70.0,100.24942800000001,-69.331345,60.0,70.0,1,0
135,25157,38827449,68.40675300000001,-60.209747,38827449,68.40675300000001,-60.209747,0.0,20190415,,,149-004303,04333762-6012350,,J043337.56-601235.7,,29813749.0,,STAR,2mass,2mass,,,,,,,,,270.478118,-40.231111999999996,23.269607999999998,-78.519796,12.824000000000002,0.019,11.921,0.046,,,,,,,,,,,10.31,0.027000000000000003,9.859,0.023,9.748,0.024,AAA-222-111-000-0-0,,9.699,0.023,9.77,0.02,9.698,0.031,9.703,0.521,,,11.097999999999999,0.038,vjk,spec7,4948.46,,,,0.100408,0.081403,0.8283,,,,,,,,,146.31,,,,67,0.002640235,,,0.005546654,,,,,,,,,,,,,,,,,,,spect,,,,,0,,ucac4,apassdr9,,70.0,80.0,68.40675300000001,-60.209747,70.0,80.0,1,0
153,33889,278991483,101.972374,-57.225559,278991483,101.972374,-57.225559,0.0,20190415,,,164-008868,06475336-5713320,,J064753.36-571332.0,,27318168.0,,STAR,tmmgaia,tmmgaia,,,,,,,,,266.913469,-23.007645,126.563499,-79.134524,12.457,0.039,11.415,0.046,,,,,,,,,,,9.671,0.03,9.123,0.027999999999999997,8.925,0.024,AAA-222-111-000-0-0,,8.859,0.023,8.902999999999999,0.02,8.836,0.022000000000000002,8.756,0.221,,,10.402000000000001,0.02,gaiaj,spec7,4818.83,110.68,,,0.0651667,0.1,0.656552,0.14639100000000002,,,,,,,,,,,,128,0.9097119,,,0.010313600000000001,,,,,,,,,,,,,,,,,,,spect,,,,,0,,ucac4,apassdr9,,654.384,654.384,101.972317,-57.225552,654.384,654.384,1,0
165,7855,167695512,103.040405,-63.590346999999994,167695512,103.040404494309,-63.590346946089,0.000832661762645834,20190415,,,133-009473,06520969-6335253,,J065209.76-633524.6,5.286315360747583e+18,29889731.0,,STAR,tmgaia2,tmgaia2,45.153,0.042916199999999995,55.0238,0.039704500000000004,gaia2,7.28008,0.020412,gaia2,273.790057778236,-24.025669577260103,157.634253098146,-83.7697214435514,13.719000000000001,0.016,12.494000000000002,0.046,,,,,,,,,,,10.625,0.023,10.085,0.024,9.96,0.021,AAA-222-111-000-0-0,,9.892000000000001,0.023,9.981,0.02,9.929,0.036000000000000004,8.999,,12.2454,0.000192,11.5658,0.006,rered,spect,4633.0,174.83700000000002,4.56398,0.127447,,,0.74415,0.07777389999999999,0.74,0.09188710000000001,1.79577,0.678405,DWARF,0.2298607,0.01477995,136.81799999999998,0.385,0.02623,0.01049138,144,0.5953053,,,0.004283197,0.0111456,0.00983716,schlegel,0.07630319999999999,0.107471,0.0636744,0.0918734,0.52181,0.835,0.108175,0.14671900000000002,0.011793099999999999,0.0177668,0.384,0.386,bj2018,101.219,248.455,spect,12.870999999999999,0.001801,11.5137,0.000739,1,,ucac4,apassdr9,,0.782880560941021,0.615791134180797,103.04084157801701,-63.5901100387261,0.0191432005103446,0.0213834572885331,1,0
